id;horse_id;status;date;title;price;doctor;note
1;60849;PAID;2020-10-22T15:57:34;Bacon Business-focused;46907;Auto Loan Account Ergonomic policy;California
2;72069;MISSED;2020-10-23T01:43:53;wireless haptic Awesome Plastic Chicken;51069;Auto Loan Account;gold
3;37764;MISSED;2020-10-22T23:39:16;withdrawal;59377;clicks-and-mortar object-oriented;out-of-the-box
4;48015;MISSED;2020-10-22T18:14:29;New Taiwan Dollar index deliverables;33459;United States Minor Outlying Islands EXE index;Representative Savings Account Japan
5;23338;PAID;2020-10-22T14:04:52;Unbranded Plastic Computer;98599;Springs Key Intelligent Steel Bacon;streamline
6;81814;NOTPAID;2020-10-23T00:48:38;calculate Awesome;40189;Rustic Wooden Fish index utilize;Games Drive tan
7;20636;NOTPAID;2020-10-23T07:35:18;Money Market Account;65915;Metal Slovakia (Slovak Republic) Games;Factors real-time functionalities
8;40311;NOTPAID;2020-10-22T13:04:37;Money Market Account;11731;connect incremental COM;deposit
9;1116;NOTPAID;2020-10-22T16:04:43;scale AGP;5808;well-modulated digital navigating;infomediaries
10;86970;NOTPAID;2020-10-23T06:31:03;Web Utah cyan;93857;Lead yellow Garden;transition Fantastic
